key,value
Anti-Black or African American,64
Anti-White,44
Anti-Sikh,28
Anti-Eastern Orthodox (Russian Greek Other),10
Anti-Multiple Races Group,9
Anti-Gay (Male),9
Anti-Other Christian,8
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),8
Anti-Other Race/Ethnicity/Ancestry,7
Anti-Hispanic or Latino,7
Anti-Transgender,4
Anti-Gender Non-Conforming,4
Multiple Bias,3
Anti-Multiple Religions Group,3
Anti-Buddhist,2
Anti-Native Hawaiian or Other Pacific Islander,2
Anti-Protestant,2
Anti-Physical Disability,2
Anti-Jewish,2
Anti-Female,2
Anti-Church of Jesus Christ,2
Anti-Mental Disability,1
Anti-Arab,1
Anti-Heterosexual,1
Anti-Bisexual,1
Anti-Islamic (Muslim),1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Asian",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Lesbian (Female)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Catholic",0
