"Overall Rank (1=Best)","City","State","Overall Score","Equality Rank","Community Support Rank","Affordability Rank","Health Care Access Rank","Pride-Readiness Rank"
"1","San Francisco","CA","72.16","4","3","63","10","4"
"2","Washington","DC","68.00","19","4","54","3","10"
"3","Seattle","WA","64.96","30","8","32","7","14"
"4","Denver","CO","61.53","1","12","28","12","16"
"5","Boston","MA","60.52","20","9","124","2","45"
"6","Portland","OR","58.84","38","11","76","14","21"
"7","New York","NY","58.01","24","36","183","83","1"
"8","Pittsburgh","PA","57.90","93","7","55","13","15"
"9","Oakland","CA","57.51","4","10","141","18","48"
"10","Atlanta","GA","57.15","128","2","11","17","11"
"11","Long Beach","CA","56.69","4","16","181","33","12"
"12","Los Angeles","CA","56.56","4","29","176","93","3"
"13","Chicago","IL","56.32","28","33","57","34","8"
"14","Sacramento","CA","56.20","4","14","115","49","29"
"15","Providence","RI","56.10","33","22","131","8","19"
"16","San Diego","CA","55.67","4","21","110","58","17"
"17","Las Vegas","NV","54.84","15","47","108","89","6"
"18","Fort Lauderdale","FL","53.39","161","1","49","26","5"
"19","Minneapolis","MN","52.59","47","57","48","4","34"
"20","Salt Lake City","UT","52.47","117","6","64","6","24"
"21","Tacoma","WA","52.38","45","19","83","39","58"
"22","Pasadena","CA","52.34","32","40","142","5","63"
"23","Richmond","VA","52.19","86","15","132","11","35"
"24","Fort Collins","CO","51.09","1","49","62","24","94"
"25","Madison","WI","50.93","84","13","89","19","78"
"26","Baltimore","MD","50.18","56","27","135","27","56"
"27","San Jose","CA","49.92","18","50","41","143","71"
"28","Albuquerque","NM","49.50","49","25","90","101","80"
"29","Bellevue","WA","49.15","30","62","12","31","136"
"30","Rochester","NY","48.46","24","30","187","67","93"
"31","Buffalo","NY","48.38","36","52","166","66","27"
"32","Sunnyvale","CA","48.19","22","70","18","38","144"
"33","Jersey City","NJ","47.72","35","46","69","99","109"
"34","Orlando","FL","46.34","161","5","106","40","9"
"35","Colorado Springs","CO","46.24","57","64","61","82","54"
"36","Naperville","IL","46.13","61","91","2","47","178"
"37","Rockford","IL","45.74","28","55","175","153","90"
"38","Riverside","CA","45.10","4","78","137","130","114"
"39","Austin","TX","44.98","132","17","13","43","18"
"40","Philadelphia","PA","44.76","93","42","154","25","42"
"41","Orange","CA","44.64","54","61","105","42","156"
"42","Santa Rosa","CA","44.33","42","72","162","36","126"
"43","Milwaukee","WI","44.33","84","45","171","62","43"
"44","Vancouver","WA","44.29","65","65","119","21","124"
"45","Santa Ana","CA","43.98","34","71","155","180","99"
"46","Norfolk","VA","43.60","92","31","152","122","69"
"47","St. Louis","MO","43.31","122","18","133","20","25"
"48","Oceanside","CA","43.28","4","96","164","105","61"
