key,value
Anti-Black or African American,62
Anti-Hispanic or Latino,28
Anti-Gay (Male),20
Anti-White,15
Anti-Jewish,14
Multiple Bias,11
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),9
Anti-Transgender,6
Anti-American Indian or Alaska Native,5
Anti-Gender Non-Conforming,5
Anti-Asian,4
Anti-Multiple Races Group,3
Anti-Islamic (Muslim),3
Anti-Other Religion,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Sikh,2
Anti-Arab,2
Anti-Catholic,2
Anti-Church of Jesus Christ,2
Anti-Male,1
Anti-Mental Disability,1
Anti-Heterosexual,1
Anti-Multiple Religions Group,1
Anti-Bisexual,1
Anti-Lesbian (Female),1
Anti-Physical Disability,1
Anti-Female,1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
