key,value
Anti-White,10
Anti-Black or African American,8
Anti-American Indian or Alaska Native,3
Anti-Gender Non-Conforming,3
Anti-Mental Disability,2
Anti-Eastern Orthodox (Russian Greek Other),2
Anti-Sikh,1
Anti-Asian,1
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),1
Anti-Lesbian (Female),1
Anti-Physical Disability,1
Anti-Gay (Male),1
Anti-Jewish,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Multiple Religions, Group",0
"Anti-Hispanic or Latino",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Female",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
