key,value
Anti-Black or African American,643
Anti-Gay (Male),269
Anti-Hispanic or Latino,207
Anti-Jewish,187
Anti-Asian,137
Anti-Other Race/Ethnicity/Ancestry,106
Anti-White,101
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),83
Anti-Transgender,57
Anti-Multiple Races Group,51
Anti-Lesbian (Female),33
Multiple Bias,31
Anti-Islamic (Muslim),26
Anti-Other Christian,24
Anti-Arab,21
Anti-Catholic,20
Anti-Protestant,12
Anti-Gender Non-Conforming,12
Anti-Female,11
Anti-Other Religion,9
Anti-American Indian or Alaska Native,6
Anti-Physical Disability,6
Anti-Mental Disability,5
Anti-Multiple Religions Group,5
Anti-Jehovahs Witness,5
Anti-Sikh,4
Anti-Bisexual,4
Anti-Eastern Orthodox (Russian Greek Other),3
Anti-Male,2
Anti-Heterosexual,2
Anti-Hindu,2
Anti-Church of Jesus Christ,2
Anti-Atheism/Agnosticism,1
Anti-Buddhist,1
"Anti-Native Hawaiian or Other Pacific Islander",0
