key,value
Anti-Black or African American,61
Anti-American Indian or Alaska Native,42
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),33
Anti-Hispanic or Latino,28
Anti-Gay (Male),26
Anti-White,24
Anti-Transgender,20
Anti-Jewish,20
Anti-Asian,11
Anti-Other Race/Ethnicity/Ancestry,9
Multiple Bias,5
Anti-Multiple Races Group,5
Anti-Lesbian (Female),5
Anti-Islamic (Muslim),5
Anti-Other Christian,3
Anti-Mental Disability,3
Anti-Bisexual,3
Anti-Catholic,3
Anti-Atheism/Agnosticism,2
Anti-Buddhist,2
Anti-Arab,2
Anti-Sikh,1
Anti-Heterosexual,1
Anti-Physical Disability,1
Anti-Hindu,1
Anti-Other Religion,1
"Anti-Male",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Multiple Religions, Group",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
