key,value
Anti-Black or African American,27
Anti-Other Race/Ethnicity/Ancestry,9
Anti-White,8
Anti-Gay (Male),7
Multiple Bias,6
Anti-Asian,5
Anti-Hispanic or Latino,4
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),4
Anti-Eastern Orthodox (Russian Greek Other),4
Anti-Islamic (Muslim),3
Anti-Jewish,3
Anti-Multiple Races Group,2
Anti-Multiple Religions Group,2
Anti-Transgender,1
Anti-Other Religion,1
Anti-Catholic,1
Anti-Church of Jesus Christ,1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Lesbian (Female)",0
"Anti-Physical Disability",0
"Anti-Hindu",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
