key,value
Anti-Black or African American,40
Anti-Gay (Male),27
Anti-Jewish,22
Anti-White,10
Anti-Hispanic or Latino,9
Anti-Other Race/Ethnicity/Ancestry,7
Anti-Lesbian (Female),7
Anti-Other Religion,6
Multiple Bias,5
Anti-Multiple Races Group,4
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),4
Anti-Transgender,3
Anti-Other Christian,2
Anti-Asian,2
Anti-Islamic (Muslim),2
Anti-Catholic,2
Anti-Buddhist,1
Anti-Sikh,1
Anti-American Indian or Alaska Native,1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
