key,value
Anti-Black or African American,80
Anti-Gay (Male),19
Anti-White,17
Anti-Hispanic or Latino,14
Anti-Jewish,9
Anti-Multiple Races Group,6
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),4
Anti-Physical Disability,4
Anti-Gender Non-Conforming,4
Multiple Bias,3
Anti-Asian,3
Anti-Lesbian (Female),3
Anti-Catholic,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Transgender,2
Anti-Protestant,2
Anti-Islamic (Muslim),2
Anti-Church of Jesus Christ,2
Anti-Other Christian,1
Anti-Male,1
Anti-Native Hawaiian or Other Pacific Islander,1
Anti-Mental Disability,1
Anti-Heterosexual,1
Anti-Multiple Religions Group,1
Anti-Other Religion,1
Anti-Eastern Orthodox (Russian Greek Other),1
Anti-Female,1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Arab",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
