key,value
Anti-Black or African American,89
Anti-Jewish,42
Anti-White,35
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),29
Anti-Gay (Male),25
Anti-Hispanic or Latino,20
Anti-Multiple Races Group,11
Anti-Lesbian (Female),10
Anti-Asian,7
Anti-Islamic (Muslim),7
Multiple Bias,6
Anti-Transgender,5
Anti-Other Christian,4
Anti-Other Race/Ethnicity/Ancestry,3
Anti-Sikh,3
Anti-Arab,3
Anti-American Indian or Alaska Native,3
Anti-Gender Non-Conforming,3
Anti-Bisexual,2
Anti-Other Religion,2
Anti-Female,2
Anti-Catholic,2
Anti-Male,1
Anti-Multiple Religions Group,1
Anti-Jehovahs Witness,1
Anti-Protestant,1
Anti-Physical Disability,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Hindu",0
"Anti-Church of Jesus Christ",0
