key,value
Anti-Black or African American,53
Anti-White,29
Anti-Gay (Male),15
Anti-Hispanic or Latino,12
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),10
Anti-American Indian or Alaska Native,8
Anti-Gender Non-Conforming,5
Multiple Bias,3
Anti-Buddhist,3
Anti-Transgender,3
Anti-Asian,3
Anti-Islamic (Muslim),3
Anti-Jewish,3
Anti-Sikh,2
Anti-Multiple Races Group,2
Anti-Arab,2
Anti-Other Race/Ethnicity/Ancestry,1
Anti-Other Christian,1
Anti-Heterosexual,1
Anti-Multiple Religions Group,1
Anti-Bisexual,1
Anti-Jehovahs Witness,1
Anti-Lesbian (Female),1
Anti-Physical Disability,1
Anti-Hindu,1
Anti-Other Religion,1
Anti-Female,1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Protestant",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
