key,value
Anti-Black or African American,35
Anti-Eastern Orthodox (Russian Greek Other),15
Anti-White,11
Anti-Sikh,5
Anti-Multiple Religions Group,5
Anti-Hispanic or Latino,5
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),5
Anti-Protestant,5
Anti-Catholic,5
Anti-Multiple Races Group,3
Anti-Mental Disability,3
Anti-Heterosexual,3
Anti-Transgender,3
Anti-Gay (Male),3
Anti-Jewish,3
Anti-Other Christian,2
Anti-Lesbian (Female),2
Anti-Other Religion,2
Anti-Other Race/Ethnicity/Ancestry,1
Anti-Atheism/Agnosticism,1
Anti-Male,1
Anti-Asian,1
Anti-Bisexual,1
Anti-Islamic (Muslim),1
Anti-Gender Non-Conforming,1
"Multiple Bias",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Physical Disability",0
"Anti-Hindu",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
