key,value
Anti-Black or African American,18
Anti-White,17
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),5
Anti-Other Race/Ethnicity/Ancestry,4
Anti-Gay (Male),4
Anti-Buddhist,3
Anti-Sikh,2
Anti-Multiple Religions Group,2
Anti-Other Religion,2
Anti-Multiple Races Group,1
Anti-Asian,1
Anti-Hispanic or Latino,1
Anti-Bisexual,1
Anti-Lesbian (Female),1
Anti-Eastern Orthodox (Russian Greek Other),1
Anti-Female,1
Anti-Catholic,1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Jewish",0
"Anti-Gender Non-Conforming",0
"Anti-Church of Jesus Christ",0
