key,value
Anti-Black or African American,23
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),12
Anti-Gay (Male),9
Anti-Multiple Races Group,5
Anti-Gender Non-Conforming,4
Anti-Transgender,3
Anti-Hispanic or Latino,3
Anti-White,3
Anti-Other Christian,2
Anti-Asian,2
Anti-Physical Disability,2
Anti-Islamic (Muslim),2
Anti-Female,2
Anti-Catholic,2
Anti-Male,1
Anti-Sikh,1
Anti-Multiple Religions Group,1
Anti-Bisexual,1
Anti-Protestant,1
Anti-Eastern Orthodox (Russian Greek Other),1
Anti-Jewish,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Lesbian (Female)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Church of Jesus Christ",0
