key,value
Anti-Black or African American,67
Anti-White,19
Anti-Jewish,16
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),13
Anti-American Indian or Alaska Native,11
Anti-Other Christian,10
Anti-Hispanic or Latino,9
Anti-Gay (Male),9
Multiple Bias,8
Anti-Transgender,5
Anti-Other Religion,5
Anti-Sikh,4
Anti-Multiple Races Group,4
Anti-Other Race/Ethnicity/Ancestry,3
Anti-Physical Disability,3
Anti-Mental Disability,2
Anti-Multiple Religions Group,2
Anti-Protestant,2
Anti-Lesbian (Female),2
Anti-Islamic (Muslim),2
Anti-Male,1
Anti-Asian,1
Anti-Gender Non-Conforming,1
Anti-Female,1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
