key,value
Anti-Black or African American,160
Anti-Gay (Male),51
Anti-White,50
Anti-Jewish,33
Anti-Multiple Races Group,14
Anti-Arab,14
Anti-Transgender,11
Anti-Lesbian (Female),11
Anti-Islamic (Muslim),9
Anti-Hispanic or Latino,7
Anti-American Indian or Alaska Native,6
Anti-Other Race/Ethnicity/Ancestry,5
Anti-Female,5
Anti-Mental Disability,4
Anti-Asian,3
Anti-Bisexual,3
Anti-Gender Non-Conforming,3
Anti-Other Christian,2
Anti-Male,2
Anti-Sikh,2
Anti-Native Hawaiian or Other Pacific Islander,2
Anti-Protestant,2
Anti-Catholic,2
Multiple Bias,1
Anti-Multiple Religions Group,1
Anti-Physical Disability,1
Anti-Other Religion,1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Heterosexual",0
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Church of Jesus Christ",0
