key,value
Anti-Black or African American,57
Anti-Gay (Male),21
Anti-Jewish,17
Anti-White,12
Multiple Bias,11
Anti-Hispanic or Latino,11
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),9
Anti-Other Race/Ethnicity/Ancestry,7
Anti-Transgender,4
Anti-Asian,4
Anti-Islamic (Muslim),4
Anti-Multiple Races Group,2
Anti-American Indian or Alaska Native,2
Anti-Gender Non-Conforming,2
Anti-Other Christian,1
Anti-Mental Disability,1
Anti-Hindu,1
Anti-Female,1
Anti-Catholic,1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Lesbian (Female)",0
"Anti-Physical Disability",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Church of Jesus Christ",0
