key,value
Anti-Black or African American,7
Anti-American Indian or Alaska Native,4
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),3
Anti-Physical Disability,3
Anti-Transgender,2
Anti-White,2
Anti-Other Race/Ethnicity/Ancestry,1
Anti-Male,1
Anti-Sikh,1
Anti-Mental Disability,1
Anti-Arab,1
Anti-Hispanic or Latino,1
Anti-Bisexual,1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Buddhist",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Heterosexual",0
"Anti-Asian",0
"Anti-Multiple Religions, Group",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Lesbian (Female)",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Gay (Male)",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Jewish",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
