key,value
Anti-American Indian or Alaska Native,13
Anti-Black or African American,13
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),7
Anti-Hispanic or Latino,6
Anti-White,5
Anti-Transgender,3
Anti-Other Religion,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Multiple Races Group,2
Anti-Arab,2
Anti-Lesbian (Female),2
Anti-Gay (Male),2
Anti-Female,2
Multiple Bias,1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Asian",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Jewish",0
"Anti-Gender Non-Conforming",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
