key,value
Anti-White,23
Anti-Black or African American,16
Anti-Hispanic or Latino,12
Anti-Gay (Male),8
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),7
Anti-Jewish,5
Anti-Transgender,4
Anti-Church of Jesus Christ,4
Anti-Asian,3
Anti-Multiple Races Group,2
Anti-American Indian or Alaska Native,2
Anti-Gender Non-Conforming,2
Anti-Female,2
Anti-Other Race/Ethnicity/Ancestry,1
Multiple Bias,1
Anti-Sikh,1
Anti-Heterosexual,1
Anti-Jehovahs Witness,1
Anti-Hindu,1
Anti-Other Religion,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Protestant",0
"Anti-Lesbian (Female)",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Catholic",0
