key,value
Anti-Black or African American,399
Anti-Jewish,185
Multiple Bias,136
Anti-Gay (Male),79
Anti-Hispanic or Latino,51
Anti-Asian,45
Anti-Transgender,35
Anti-White,34
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),28
Anti-Lesbian (Female),22
Anti-Other Race/Ethnicity/Ancestry,21
Anti-Multiple Races Group,17
Anti-Islamic (Muslim),15
Anti-Gender Non-Conforming,8
Anti-Arab,7
Anti-Catholic,4
Anti-Physical Disability,3
Anti-Hindu,3
Anti-Other Religion,3
Anti-Mental Disability,2
Anti-Other Christian,1
Anti-Sikh,1
Anti-Heterosexual,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
