key,value
Anti-Jewish,351
Anti-Black or African American,163
Anti-Gay (Male),104
Anti-Asian,100
Anti-Other Race/Ethnicity/Ancestry,47
Anti-Hispanic or Latino,29
Anti-White,29
Anti-Islamic (Muslim),26
Anti-Transgender,19
Anti-Catholic,15
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),10
Anti-Lesbian (Female),8
Anti-Other Religion,7
Anti-Multiple Religions Group,6
Anti-Arab,4
Anti-Hindu,4
Anti-Sikh,3
Anti-Multiple Races Group,2
Anti-Physical Disability,2
Anti-Eastern Orthodox (Russian Greek Other),2
Anti-Buddhist,1
Anti-American Indian or Alaska Native,1
Anti-Jehovahs Witness,1
Anti-Protestant,1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Bisexual",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
