key,value
Anti-Black or African American,161
Anti-White,82
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),35
Anti-Mental Disability,30
Anti-Transgender,24
Anti-Gay (Male),23
Anti-Sikh,22
Anti-Gender Non-Conforming,21
Anti-Multiple Races Group,14
Anti-Other Race/Ethnicity/Ancestry,13
Anti-American Indian or Alaska Native,12
Anti-Lesbian (Female),11
Anti-Physical Disability,11
Anti-Other Religion,11
Anti-Hispanic or Latino,9
Anti-Jewish,9
Anti-Protestant,6
Anti-Islamic (Muslim),5
Anti-Eastern Orthodox (Russian Greek Other),5
Anti-Heterosexual,4
Anti-Other Christian,3
Anti-Arab,3
Anti-Asian,3
Anti-Jehovahs Witness,3
Anti-Atheism/Agnosticism,2
Multiple Bias,1
Anti-Male,1
Anti-Native Hawaiian or Other Pacific Islander,1
Anti-Bisexual,1
Anti-Female,1
Anti-Catholic,1
"Anti-Buddhist",0
"Anti-Multiple Religions, Group",0
"Anti-Hindu",0
"Anti-Church of Jesus Christ",0
