key,value
Anti-Black or African American,92
Anti-Hispanic or Latino,35
Anti-Gay (Male),24
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),18
Multiple Bias,14
Anti-White,12
Anti-Other Race/Ethnicity/Ancestry,10
Anti-Jewish,10
Anti-Asian,9
Anti-Lesbian (Female),9
Anti-Transgender,8
Anti-Multiple Races Group,7
Anti-Female,6
Anti-Arab,5
Anti-Catholic,5
Anti-American Indian or Alaska Native,4
Anti-Physical Disability,4
Anti-Islamic (Muslim),4
Anti-Other Christian,3
Anti-Protestant,2
Anti-Other Religion,2
Anti-Eastern Orthodox (Russian Greek Other),2
Anti-Gender Non-Conforming,2
Anti-Heterosexual,1
Anti-Bisexual,1
Anti-Church of Jesus Christ,1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Multiple Religions, Group",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
