key,value
Anti-Black or African American,96
Anti-White,44
Anti-Gay (Male),20
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),18
Anti-Asian,17
Anti-Jewish,13
Multiple Bias,8
Anti-Other Race/Ethnicity/Ancestry,6
Anti-Catholic,6
Anti-Multiple Races Group,5
Anti-Hispanic or Latino,5
Anti-Physical Disability,5
Anti-Other Christian,4
Anti-Native Hawaiian or Other Pacific Islander,4
Anti-Arab,4
Anti-Atheism/Agnosticism,3
Anti-Sikh,3
Anti-Islamic (Muslim),3
Anti-Eastern Orthodox (Russian Greek Other),3
Anti-Mental Disability,2
Anti-Transgender,2
Anti-Lesbian (Female),2
Anti-Buddhist,1
Anti-Bisexual,1
Anti-Other Religion,1
Anti-Gender Non-Conforming,1
Anti-Female,1
"Anti-Male",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Hindu",0
"Anti-Church of Jesus Christ",0
