key,value
Anti-Jewish,6
Anti-Black or African American,4
Anti-Other Christian,2
Anti-Lesbian (Female),1
Anti-Other Religion,1
Anti-Gay (Male),1
Anti-Female,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Asian",0
"Anti-Multiple Religions, Group",0
"Anti-Hispanic or Latino",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Lesbian Gay Bisexual or Transgender (Mixed Group)",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-White",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
