key,value
Anti-Black or African American,16
Anti-White,10
Anti-American Indian or Alaska Native,6
Anti-Gay (Male),5
Anti-Sikh,4
Anti-Hispanic or Latino,3
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),3
Anti-Protestant,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Gender Non-Conforming,2
Anti-Other Christian,1
Anti-Multiple Races Group,1
Anti-Multiple Religions Group,1
Anti-Lesbian (Female),1
Anti-Other Religion,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Asian",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Jewish",0
"Anti-Female",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
