key,value
Anti-Black or African American,43
Anti-White,10
Anti-Hispanic or Latino,9
Anti-Mental Disability,6
Anti-Gay (Male),5
Multiple Bias,4
Anti-Jewish,4
Anti-Asian,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Multiple Races Group,2
Anti-Sikh,1
Anti-Heterosexual,1
Anti-Transgender,1
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),1
Anti-Lesbian (Female),1
Anti-Other Religion,1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
