key,value
Anti-Black or African American,141
Anti-White,60
Anti-Hispanic or Latino,56
Anti-Gay (Male),55
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),46
Anti-Transgender,27
Anti-Other Race/Ethnicity/Ancestry,22
Anti-American Indian or Alaska Native,17
Anti-Jewish,17
Anti-Asian,15
Anti-Sikh,14
Anti-Lesbian (Female),13
Multiple Bias,11
Anti-Other Religion,10
Anti-Gender Non-Conforming,10
Anti-Multiple Races Group,9
Anti-Mental Disability,9
Anti-Protestant,9
Anti-Physical Disability,6
Anti-Arab,5
Anti-Islamic (Muslim),5
Anti-Other Christian,4
Anti-Native Hawaiian or Other Pacific Islander,4
Anti-Atheism/Agnosticism,3
Anti-Heterosexual,3
Anti-Female,3
Anti-Catholic,3
Anti-Multiple Religions Group,2
Anti-Bisexual,2
Anti-Male,1
Anti-Buddhist,1
Anti-Jehovahs Witness,1
Anti-Hindu,1
Anti-Eastern Orthodox (Russian Greek Other),1
Anti-Church of Jesus Christ,1
