key,value
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),25
Anti-Black or African American,16
Anti-Church of Jesus Christ,11
Anti-Hispanic or Latino,6
Anti-White,6
Anti-Multiple Races Group,5
Anti-Gay (Male),5
Anti-Jewish,5
Anti-Sikh,4
Anti-Gender Non-Conforming,4
Anti-Asian,3
Anti-Mental Disability,2
Anti-American Indian or Alaska Native,2
Anti-Lesbian (Female),2
Anti-Other Religion,2
Anti-Other Race/Ethnicity/Ancestry,1
Multiple Bias,1
Anti-Arab,1
Anti-Transgender,1
Anti-Physical Disability,1
Anti-Islamic (Muslim),1
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Female",0
"Anti-Catholic",0
