key,value
Anti-Black or African American,80
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),24
Anti-Gay (Male),11
Anti-Other Race/Ethnicity/Ancestry,10
Anti-Jewish,10
Anti-Asian,8
Anti-Multiple Races Group,7
Anti-Hispanic or Latino,7
Anti-White,7
Anti-Transgender,4
Anti-Lesbian (Female),3
Anti-Other Christian,2
Anti-Mental Disability,2
Anti-Gender Non-Conforming,2
Anti-Sikh,1
Anti-Bisexual,1
Anti-Islamic (Muslim),1
Anti-Female,1
Anti-Catholic,1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Church of Jesus Christ",0
