key,value
Anti-Black or African American,12
Anti-Sikh,7
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),6
Anti-White,6
Anti-Jewish,3
Anti-Protestant,2
Anti-Gender Non-Conforming,2
Anti-Other Christian,1
Anti-Multiple Races Group,1
Anti-Native Hawaiian or Other Pacific Islander,1
Anti-Mental Disability,1
Anti-Arab,1
Anti-Asian,1
Anti-Multiple Religions Group,1
Anti-Bisexual,1
Anti-Physical Disability,1
Anti-Hindu,1
Anti-Other Religion,1
Anti-Gay (Male),1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Hispanic or Latino",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Lesbian (Female)",0
"Anti-Islamic (Muslim)",0
"Anti-Female",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
