key,value
Anti-Black or African American,28
Anti-White,18
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),14
Anti-Hispanic or Latino,11
Anti-Gay (Male),10
Anti-Female,9
Anti-Sikh,7
Multiple Bias,5
Anti-Jewish,5
Anti-Gender Non-Conforming,5
Anti-Multiple Races Group,3
Anti-Mental Disability,3
Anti-Transgender,3
Anti-Protestant,3
Anti-Physical Disability,3
Anti-Catholic,3
Anti-Asian,2
Anti-Lesbian (Female),2
Anti-Islamic (Muslim),2
Anti-Hindu,2
Anti-Other Race/Ethnicity/Ancestry,1
Anti-Other Christian,1
Anti-American Indian or Alaska Native,1
Anti-Other Religion,1
Anti-Eastern Orthodox (Russian Greek Other),1
"Anti-Atheism/Agnosticism",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Church of Jesus Christ",0
