key,value
Anti-Black or African American,4
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),4
Anti-Gay (Male),4
Anti-White,3
Anti-Sikh,2
Multiple Bias,1
Anti-Transgender,1
Anti-Asian,1
Anti-Hispanic or Latino,1
Anti-Female,1
Anti-Catholic,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Lesbian (Female)",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Jewish",0
"Anti-Gender Non-Conforming",0
"Anti-Church of Jesus Christ",0
