key,value
Anti-Black or African American,18
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),10
Anti-Multiple Races Group,8
Anti-White,6
Anti-Hispanic or Latino,4
Anti-Gay (Male),4
Anti-Jewish,4
Anti-Transgender,3
Anti-Other Race/Ethnicity/Ancestry,2
Anti-Physical Disability,2
Anti-Catholic,2
Anti-Other Christian,1
Anti-Male,1
Anti-Arab,1
Anti-Asian,1
Anti-Bisexual,1
Anti-Lesbian (Female),1
Anti-Church of Jesus Christ,1
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Mental Disability",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Female",0
