key,value
Anti-Black or African American,51
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),17
Anti-White,14
Multiple Bias,8
Anti-Other Race/Ethnicity/Ancestry,5
Anti-Hispanic or Latino,4
Anti-Gay (Male),4
Anti-Jewish,4
Anti-Transgender,3
Anti-Other Christian,2
Anti-Lesbian (Female),2
Anti-Other Religion,2
Anti-Male,1
Anti-Multiple Races Group,1
Anti-Mental Disability,1
Anti-Protestant,1
Anti-Physical Disability,1
Anti-Islamic (Muslim),1
Anti-Gender Non-Conforming,1
Anti-Catholic,1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Asian",0
"Anti-Multiple Religions, Group",0
"Anti-American Indian or Alaska Native",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Hindu",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
