key,value
Anti-Black or African American,48
Anti-White,31
Anti-Gay (Male),13
Anti-Sikh,12
Anti-Hispanic or Latino,11
Anti-American Indian or Alaska Native,11
Anti-Other Race/Ethnicity/Ancestry,9
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),9
Anti-Transgender,5
Anti-Jewish,5
Anti-Lesbian (Female),4
Anti-Eastern Orthodox (Russian Greek Other),4
Anti-Other Christian,3
Anti-Gender Non-Conforming,3
Anti-Female,3
Multiple Bias,2
Anti-Multiple Races Group,2
Anti-Native Hawaiian or Other Pacific Islander,2
Anti-Mental Disability,2
Anti-Protestant,2
Anti-Physical Disability,2
Anti-Islamic (Muslim),2
Anti-Hindu,2
Anti-Male,1
Anti-Buddhist,1
Anti-Arab,1
Anti-Asian,1
Anti-Multiple Religions Group,1
Anti-Other Religion,1
Anti-Catholic,1
Anti-Church of Jesus Christ,1
"Anti-Atheism/Agnosticism",0
"Anti-Heterosexual",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
