key,value
Anti-Black or African American,9
Anti-Gay (Male),6
Anti-Jewish,5
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),2
Multiple Bias,1
Anti-Native Hawaiian or Other Pacific Islander,1
Anti-Asian,1
Anti-American Indian or Alaska Native,1
Anti-White,1
Anti-Lesbian (Female),1
Anti-Female,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Multiple Races, Group",0
"Anti-Mental Disability",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Transgender",0
"Anti-Multiple Religions, Group",0
"Anti-Hispanic or Latino",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Protestant",0
"Anti-Physical Disability",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Gender Non-Conforming",0
"Anti-Catholic",0
"Anti-Church of Jesus Christ",0
