key,value
Anti-Black or African American,31
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),6
Anti-American Indian or Alaska Native,5
Anti-White,4
Anti-Lesbian (Female),3
Anti-Gay (Male),3
Anti-Hispanic or Latino,2
Anti-Jewish,2
Anti-Mental Disability,1
Anti-Transgender,1
Anti-Asian,1
Anti-Protestant,1
Anti-Physical Disability,1
Anti-Gender Non-Conforming,1
Anti-Catholic,1
"Anti-Other Race/Ethnicity/Ancestry",0
"Multiple Bias",0
"Anti-Atheism/Agnosticism",0
"Anti-Other Christian",0
"Anti-Male",0
"Anti-Buddhist",0
"Anti-Sikh",0
"Anti-Multiple Races, Group",0
"Anti-Native Hawaiian or Other Pacific Islander",0
"Anti-Arab",0
"Anti-Heterosexual",0
"Anti-Multiple Religions, Group",0
"Anti-Bisexual",0
"Anti-Jehovahs Witness",0
"Anti-Islamic (Muslim)",0
"Anti-Hindu",0
"Anti-Other Religion",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
"Anti-Female",0
"Anti-Church of Jesus Christ",0
