key,value
Anti-Black or African American,143
Anti-Asian,50
Anti-Hispanic or Latino,46
Anti-Lesbian Gay Bisexual or Transgender (Mixed Group),39
Anti-White,38
Anti-Gay (Male),36
Anti-Transgender,22
Multiple Bias,21
Anti-Jewish,20
Anti-American Indian or Alaska Native,19
Anti-Other Race/Ethnicity/Ancestry,18
Anti-Multiple Races Group,13
Anti-Female,7
Anti-Sikh,6
Anti-Native Hawaiian or Other Pacific Islander,6
Anti-Gender Non-Conforming,6
Anti-Mental Disability,5
Anti-Lesbian (Female),5
Anti-Catholic,5
Anti-Arab,3
Anti-Multiple Religions Group,3
Anti-Protestant,3
Anti-Islamic (Muslim),3
Anti-Other Religion,3
Anti-Other Christian,2
Anti-Male,2
Anti-Bisexual,2
Anti-Hindu,2
Anti-Jehovahs Witness,1
Anti-Church of Jesus Christ,1
"Anti-Atheism/Agnosticism",0
"Anti-Buddhist",0
"Anti-Heterosexual",0
"Anti-Physical Disability",0
"Anti-Eastern Orthodox (Russian, Greek, Other)",0
